카테고리,코스(상품) 이름
데이터 사이언스,"초격차 패키지 : 한 번에 끝내는 데이터 분석
올인원 패키지 : 컴퓨터 비전 정주행 Kit
초격차 패키지 : 딥러닝·인공지능 Signature
올인원 패키지 : 김기현의 딥러닝을 활용한 자연어처리 입문
올인원 패키지 : 혁펜하임의 AI DEEP DIVE (Online.)
초격차 패키지 : 한 번에 끝내는 데이터 사이언스
초격차 패키지 : 한 번에 끝내는 자연어 처리
초격차 패키지 : 직장인을 위한 파이썬 데이터 분석
초격차 패키지 : 한 번에 끝내는 딥러닝/인공지능
초격차 패키지 : 한 번에 끝내는 머신러닝과 데이터분석 A-Z
올인원 패키지 : 가장 쉽게 시작하는 데이터 분석, SQL 유치원
올인원 패키지 : 데이터 분석을 위한 기초 통계 완전 정복
올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화
올인원 패키지 : 머신러닝 서비스 구축을 위한 실전 MLOps
올인원 패키지 : 실패 없이 완주하는 파이썬 데이터 분석 입문
올인원 패키지 : 의료 데이터를 활용한 바이오 진단 & 신약 개발 모델 구현
초격차 패키지 : 한 번에 끝내는 컴퓨터비전
올인원 패키지 : 모델 성능 개선으로 익히는 강화학습 A to Z
초격차 패키지 : 한 번에 끝내는 SQL과 데이터 시각화
초격차 패키지 : 33개 프로젝트로 완성하는 컴퓨터비전 딥러닝 심화 과정
올인원 패키지 : 논문 구현과 실험으로 배우는 딥러닝 모델 성능 최적화 with SSL & XAI
올인원 패키지 : 30개 사례로 배우는 Anomaly Detection 알고리즘 구현과 실전 프로젝트
(2022 리뉴얼) 올인원 패키지 : 프로젝트와 함께 배우는 R 데이터 분석
초격차 패키지 : 데이터 엔지니어링
초격차 패키지 : 모델 구현으로 끝내는 GAN 완전정복
올인원 패키지 : 논문 구현과 실습으로 배우는 NeRF
올인원 패키지 : 실무 사례로 배우는 컴퓨터 비전 논문 구현과 알고리즘 성능 최적화
올인원 패키지 : AWS 데이터 인프라 구축&엔지니어링 정주행 Kit
빵형의 수학 없이 뽀개는 인공지능 입문
올인원 패키지 : 입문자를 위한 딥러닝 정주행 Kit
올인원패키지 : 20개 실습으로 익히는 Transformer: 시퀀스 데이터 딥러닝
올인원 패키지 : 가장 빨리 도달하는 객체 감지 알고리즘 YOLO!
연습문제 패키지 : 퀴즈처럼 풀면서 배우는 파이썬 머신러닝 300제+
올인원 패키지 : 강필성의 머신러닝 아카데미
올인원 패키지 : 실무 프로젝트와 모델구현으로 배우는 자연어처리 심화 
올인원 패키지 : 딥러닝/머신러닝을 활용한 시계열 데이터 분석
연습문제 패키지 : 퀴즈처럼 풀면서 배우는 파이썬 딥러닝 300제+
올인원 패키지 : 클라우드를 활용한 데이터 파이프라인 구축
올인원 패키지 : 실시간 빅데이터 처리를 위한 Spark & Flink
바이블 : 파이썬 기초부터 시작하는 딥러닝 영상인식
글로벌 엑스퍼트: 캐글 1위와 풀어보는 머신러닝 입문 트레이닝
올인원 패키지 : 딥러닝을 활용한 추천시스템 구현
올인원 패키지 : 나의 커리어 치트키 데이터 분석 유치원
초격차 패키지 : 한 번에 끝내는 빅데이터처리 with Spark&Hadoop
올인원 패키지 : AutoML 시스템 구축으로 익히는 모델 선택 및 하이퍼파라미터 튜닝
올인원 패키지 : 김기현의 BERT, GPT-3를 활용한 자연어처리
올인원 패키지 : 김기현의 딥러닝을 활용한 자연어생성
올인원 패키지 : 처음부터 시작하는 딥러닝 유치원
AWS/GCP/Azure 데이터 파이프라인 구축과 하이브리드&멀티 클라우드 활용
올인원 패키지 : 파이썬을 활용한 이커머스 데이터 분석
올인원패키지: 17개 실습으로 마스터하는 딥러닝 전이학습 with TensorFlow Hub
올인원 패키지 : 머신러닝 최적화를 위한 Genetic Algorithm
올인원 패키지 : 파이썬을 활용한 데이터 전처리 Level UP
올인원 패키지 : 수학적으로 접근하는 딥러닝
올인원 패키지 : 컴퓨터비전과 딥러닝
올인원 패키지 : 실무 문제 해결을 위한 데이터 사이언스
REC.ON : Autonomous Vehicle
올인원 패키지 : 직장인을 위한 파이썬 데이터분석
초격차 패키지 : 한 번에 끝내는 데이터 분석 툴
올인원 패키지 : 파이썬을 활용한 시계열 데이터 분석 A-Z
REC.ON : AI
올인원 패키지 : 프로젝트와 함께 배우는 R 데이터 분석
올인원 패키지 : 유전 알고리즘을 활용한 머신러닝 입력 최적화 및 대안 제안 메소드
AI/Data Science Conference : AI Explorer 22 VOD 판매
글로벌 엑스퍼트 : 바이오 데이터사이언스(Bioinformatics)
AI/Data Science Conference : AI Explorer 22"
디자인,"올인원 패키지 : 디자이너 몰래 듣는 압축 포토샵
패캠 Univ. 디자인과 : 시각디자인 기초와 타이포그래피 Kit
초격차 패키지 : 한번에 끝내는 UX/UI 디자인
초격차 패키지 : 한번에 끝내는 공간, 건축디자인
초격차 패키지 : 100개의 클론디자인으로 배우는 UX/UI
올인원 패키지 : 타이포그래피와 편집디자인
초격차 패키지 : 확실하게 끝내는 포토샵&일러스트레이터
초격차 패키지 : 한 번에 끝내는 포토샵 활용
올인원 패키지 : 스케치&피그마를 활용한 모바일 UI 디자인
초격차 패키지 : 한 번에 끝내는 일러스트레이터 활용
초격차 패키지 : 한번에 끝내는 디자인 툴
CLASS : 건축, 웹툰, 어디든 가장 쉬운 3D 디자인툴 : 스케치업 튜토리얼
올인원 패키지 : 마디아의 UX/UI 포트폴리오
올인원 패키지 : Data Driven UX Design
CLASS: 포토샵으로 시작하는 내가 꿈꾸는 판타지 아트
점으로 완성하는 특별한 세상, 신비롭고 몽환적인 픽셀아트
올인원 패키지 : 완전정복 시각디자인 기초
올인원 패키지 : 성공적인 UX를 위한 유저 리서치 by 카카오페이 리서처
CLASS : 초보도 가능한 일러스트레이터 : 6가지 예제로 완성하는 디자인 기본기 
초격차 패키지 : 한번에 끝내는 3D 디자인 툴
올인원 패키지 : 시선을 사로잡는 브랜드 디자인
시그니처 패키지 : 실무 활용 극대화를 위한 10가지 디자인 툴 
올인원 패키지 : 디자인의 차이를 만드는 서체 활용법 by 산돌 서체 디자이너
올인원 패키지 : 디자인 기초 체력 다지기, 시각디자인 요소 활용
올인원 패키지 : 구글 Material Design 시스템을 활용한 Youtube for Learning 앱 디자인 프로젝트
올인원 패키지 : 앱/웹 서비스 기획
 UX Explorer : UXUI Design Conference 2022 VOD 판매"
마케팅,"초격차 패키지 : 퍼포먼스 마케팅, 데이터로 완전 정복
초격차 패키지: GA4 탑재, 2023년 구글 애널리틱스 완전 정복
초격차 패키지 : 한 번에 끝내는 디지털 마케팅 시그니처 플러스
CLASS : 유성민의 GA4, 12시간만에 끝장내기
CLASS : 폭발적 성과를 내는 콘텐츠 제작 바이블 by.김도현
초격차 패키지 : 한 번에 끝내는 마케팅 취업
초격차 패키지: 15개의 프로젝트 사례로 완성하는 브랜딩
올인원 패키지 : 7일만에 끝내는 디지털 마케팅 광고집행 실무
초격차 패키지: 한 번에 끝내는 동화책 제작
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터
초격차 패키지 : 무조건 팔리는 SNS콘텐츠 끝장내기
초격차 패키지 : 9 in 1 직장인 글쓰기 필수 스킬 : 보고서부터 카피라이팅까지
올인원 패키지 : 스타트업 마케터로 살아남기 퍼포먼스 마케팅 Kit
전환율을 높이는 그로스마케팅 by.이하석
CLASS : 프로덕트 고속 성장을 위한 디지털 마케팅 온보딩 클래스
올인원 패키지 : 7일만에 끝내는 마케팅 데이터 분석과 시각화 실무
올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기
올인원 패키지 : 인스타를 성장시킨 50명의 성공방정식
지금 우리 일상을 공포로 물들이는 웹툰 스토리텔링 by. 주동근
올인원 패키지 : 30개 글감으로 에세이 작가되기 BY.정영욱
올인원 패키지 : GA4 탑재, 구글 애널리틱스 끝장내기
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지)
올인원 패키지 : 해외소싱으로 온라인 커머스 정복하기
올인원 패키지 : 구글 애널리틱스
올인원 패키지 : 소비자 리서치와 보고서 작성
올인원 패키지 : 브랜딩 2020
올인원 패키지 : 디지털 마케팅 MAX 2020
커리어 가이드 : 마케터 편
올인원 패키지 : 그로스 마케팅
올인원 패키지 : 검색 최적화(SEO) 운영/전략"
부동산/금융,"초격차 패키지 : 한 번에 끝내는 부동산 금융(PF) 실무
올인원 패키지 : 현직 Advisory에게 배우는 M&A 전략 및 PMI 실무
초격차 패키지 : 한 번에 끝내는 퀀트(금융공학) 실무
초격차 패키지 : 한번에 끝내는 금융ㆍ투자(IB) 실무
올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 심화 (수강시간 제한)
올인원 패키지 : 스타트업 투자유치&벤처 투자
올인원 패키지 : 권오상의 금융 아카데미 - 내부회계관리제도 (수강시간 제한)
올인원 패키지 : 권오상의 금융 아카데미 - M&A 사례로 배우는 재무제표 영향 (수강시간 제한)
올인원 패키지 : 권오상의 금융 아카데미 - 권오상 회계사의 자금조달 분석 및 가치평가 (수강시간 제한)
초격차 패키지 : 한 번에 끝내는 Financial Modeling 실무
초격차 패키지 : 한 번에 끝내는 부동산 디벨로퍼의 모든 것
[2022] 올인원 패키지 : 재무/세무 회계 실무 완성
부동산 디벨로퍼 아카데미 : 토지 개발
초격차 패키지: 36개의 프로젝트로 완성하는 M&A 실무
올인원 패키지 : 직장인 회계 첫걸음
올인원 패키지 : 엑셀로 만드는 부동산 Financial Modeling
올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 기초 (수강시간 제한)
부동산 디벨로퍼 아카데미 : 인허가
초격차 패키지 : M&A 실무 완전 정복
초격차 패키지 : 한번에 끝내는 재무세무회계 
[2022] 올인원 패키지 : 부동산 디벨로퍼
REC.ON : VC
글로벌 탑티어 헤지펀드의 미국 기업 분석 및 투자 전략 with Stephen Clapham
올인원 패키지 : M&A 기업가치평가 및 기술가치평가 실무
부동산 디벨로퍼 아카데미 : 상업용/숙박용 부동산 개발 The Real
부동산 디벨로퍼 아카데미 : 부동산 마케팅
부동산 디벨로퍼 아카데미 : 주거용 수익형 부동산 개발
올인원 패키지 : 대체투자 자산운용 실무
재수강용: 올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 기초 (수강시간 제한)
올인원 패키지 : 재무/세무 회계 실무 완성
올인원 패키지 : Financial Modeling
올인원 패키지 : 부동산 디벨로퍼"
부업/창업,"조MD의 스마트스토어 순수익으로 월급 뛰어넘기
올인원 패키지 : 제 2의 월급을 만들어주는 직장인 스몰비즈니스 가이드
150만 원으로 월 천만 원 도전하는 액세서리 스마트스토어 부업
브랜딩을 담은 리빙&푸드 스토어, 집에서 시작하기 BY. 전선생"
업무 생산성,"올인원 패키지 : 김왼손의 파이썬 업무자동화 유치원
올인원 패키지 : 랜선사수 피도리와 함께하는 생존 PPT 마스터
초격차 패키지 : 한 번에 끝내는 반복 업무 자동화
올인원 패키지 : 문서의 신이 알려주는 보고서의 법칙 : 비즈니스 글쓰기의 모든 것
초격차 패키지 : 일잘러 필수 스킬 모음.zip
올인원 패키지 : 공여사와 무작정 풀어보는 엑셀 실무
초격차 패키지 : 한번에 끝내는 PPT 제작/디자인
초격차 패키지: 한 번에 끝내는 비즈니스 영어
초격차 패키지 : 한 번에 끝내는 구글 스프레드시트
올인원 패키지 : 100억을 움직이는 50가지 PPT 디자인 원칙
올인원 패키지 : 6개월 치 업무를 하루 만에 끝내는 업무자동화 2
초격차 패키지 : 직장인이 진짜 필요한 업무자동화 SUPER팩
한번에 끝내는 ESG 경영 실무: 이해부터 전략까지
올인원 패키지 : 100억을 움직이는 단 10장의 PPT
올인원 패키지 : 1억 8천만명을 움직이는 실리콘밸리 슈퍼우먼이 알려주는 대체 불가 관리자로 성장하는 법
올인원 패키지 : 13만 구독자 피피티프로젝트의 누구나 쉽게 배우는 시선강탈 피피티 디자인
올인원 패키지 : 리더를 위한 HR/인재경영
올인원 패키지 : 자유자재로 쓰는 태블로 대시보드 마스터
올인원 패키지 : 연봉도 배우면 바뀐다! 협상왕의 12가지 시스템 불패 전략
올인원 패키지 : 세일즈 코치 Cate의 B2B Sales 성공방정식
초격차 패키지 : 한 번에 끝내는 엑셀 실무
올인원 패키지 : 6개월 치 업무를 하루 만에 끝내는 업무자동화
올인원 패키지 : 엑셀언니의 사무실용 엑셀뿌수기
올인원 패키지 : 통계와 엑셀을 활용한 데이터 분석
올인원 패키지 : FAST MBA 2020
나의 칼퇴치트키 엑셀유치원
올인원 패키지 : 엑셀 실무 마스터"
영상/3D,"편집하는여자의 영상편집 마스터클래스 - 제 6강 다양한 효과를 응용하여 애프터이펙트 마스터
쟈니브로스에게 배우는 영상 완성의 3단계 : 편집, 색보정, CG효과
올인원 패키지 : 다빈치리졸브로 배우는 영상 색 보정 A to Z
올인원 패키지 : 영상 제작/편집(2022)
매력적인 모델링과 감각적인 렌더링으로 배우는 캐릭터 TD의 블렌더 테크닉
초격차 패키지 : 한번에 끝내는 모션그래픽
용호수의 돈 버는 실전 영상 제작
[Kit]집에 있는 카메라로 시작하는 Photography : 감성사진부터 상업사진까지 Creative Kit
올인원 패키지 : 사진 촬영 및 라이트룸 보정
[Kit] 닷밀의 미디어아트 그래픽 클래스 : 모션그래픽 뉴패러다임 Creative Kit
3D 캐릭터를 가장 쉽게 만드는 법: 아이패드 모델링
편집하는여자의 영상편집 마스터클래스 - 제 3강 디테일한 이펙트로 완성하는 프리미어
초격차 패키지 : 게임 캐릭터 모델링의 모든 것
초격차 패키지 : 한 번에 끝내는 게임 배경의 모든 것
CLASS : 10년 차 포토그래퍼에게 배우는 사진 : 촬영부터 보정 수익화까지
닷밀 미디어아트 그래픽 클래스: 홀로그램, 파사드, 아나몰픽으로 배우는 미디어아트 기본
올인원 패키지 : FX 아티스트 김재민의 리얼리스틱 후디니 입문
올인원 패키지 : 애프터이펙트를 활용한 2D 모션그래픽 (2021)
초격차 패키지 : 한번에 끝내는 VFX
올인원 패키지 : 아카데미 : 편집하는여자의 영상편집 마스터클래스 - 제 1강 프리미어프로 베이직
편집하는여자의 영상편집 마스터클래스 - 제 2강 10가지 편집기법으로 프리미어 레벨업하기!
히어로부터 크리쳐까지: 어벤져스 모델러의 Zbrush 모델링
편집하는여자의 영상편집 마스터클래스 - 제 4강 애프터이펙트 베이직
탄탄한 Animatics에 기반한 Cinema4D 포트폴리오 퀀텀점프
애프터 이펙트 하나로 디자이너처럼 만드는 모션그래픽
올인원 패키지 : 십다 프리미어
차원이 다른 캐주얼 캐릭터: 2D에서 3D로, 블렌더 모델링
올인원 패키지 : 프리프로덕션부터 배우는 모션 그래픽 프로젝트 완성
편집하는여자의 영상편집 마스터클래스 - 제 5강 다양한 효과를 구현하여 애프터이펙트 레벨업
이필성의 포토클래스 시선을 사로잡는 특별한 사진을 만드는 법 Online.
블렌더로 손쉽게 만드는 캐주얼한 3D 캐릭터
CLASS : 매력적인 인스타 스토리를 만드는 비법
초격차 패키지 : 한번에 끝내는 3D 모션그래픽
초격차 패키지 : 한 번에 끝내는 유튜브 크리에이터 되기
Realistic Character 제작으로 배우는 게임 캐릭터 모델링
쟈니브로스의 영상 제작 올인원 마스터 클래스 Kit
글로벌 판매 1위 ZDE의 제페토 아이템 제작과 수익화
매치무브 온보딩 :Maya와 3D Equalizer로 배우는 헐리우드 매치무브
닷밀 미디어아트 그래픽 클래스: 음악, 공간, 감각으로 익히는 미디어아트 심화
올인원 패키지 : 누적 조회수 12억! 우감독의 재미있는 영상 편집
올인원 패키지 : 바다가 알려주는 감성가득 영상 제작
올인원 패키지 : Unity를 활용한 영화 애니메이션 제작
애프터이펙트 플러그인을 활용한 모션그래픽 아트워크
옥테인으로 만드는 뉴디멘션: Vectron 프랙탈 아트웍
초격차 패키지 : 한번에 끝내는 영상 촬영과 편집"
일러스트,"네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판
Live2D로 만드는 버츄얼 캐릭터 : 일러스트부터 리깅까지
네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트
네오아카데미: 3명의 아트디렉터에게 배우는 일러스트 스타터 kit
올인원 패키지 : 해오의 입문자를 위한 얼굴 그리기 강의
네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법
네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트
올인원 패키지 : 박담 작가와 함께 남자 캐릭터 드로잉
올인원 패키지 : 소금툰과 함께 캐릭터 드로잉/굿즈/임티/컷툰
초격차 패키지 : 4인4색 노하우로 승인받는 나만의 첫 이모티콘
초격차 패키지 : 세상의 모든 연필과 펜 드로잉
네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음
올인원 패키지 : star741의 캐주얼 일러스트 드로잉
초격차 패키지 : 세상의 모든 감성 아이패드 드로잉
네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기
올인원 패키지 : 리마의 로맨스판타지 웹소설 일러스트
리코더팩토리와 함께하는 나만의 첫 캐릭터와 브랜드
CLASS : 아기자기 방 그리기로 시작하는 실전 프로크리에이트
네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인
올인원 패키지 : 성립의 아이패드 오일파스텔 인물화와 감각적인 애니메이션
초격차 패키지 : 나만의 애정하는 인물 드로잉
네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬
올인원 패키지 : 설레는 색감과 빛의  로맨스판타지 일러스트
초격차 패키지 : 나만의 특별한 일상과 여행 드로잉
올인원 패키지 : 블리자드 아티스트의 게임 일러스트 빛과 색
올인원 패키지 : 배곡파 작가의 웹소설 남자 캐릭터 일러스트
올인원 패키지 : 아이패드로 그리는 수채화 소녀 일러스트
올인원 패키지 : 카콜의 가볍게 시작하는 데일리 아이패드 크로키
OUKO의 논리에 기반한 감각적인 일러스트 그리는 법
올인원 패키지 : star741의 31가지 캐주얼 일러스트 채색&묘사
올인원 패키지 : IREN의 배경과 소품을 활용한 캐주얼 일러스트
CLASS : 살다가 재미있는 생각이 나면 아이패드로 그려봅시다
올인원 패키지 : 화사한 색감과 빛의 미소년 일러스트
CLASS : 연필과 지우개로 그리는 나만 알고 싶은 인물화
CLASS : 색의 온도를 담아 표현하는 송블리의 색연필 인물화
CLASS : 초보자도 쉽게 따라할 수 있는 인물 수채화"
크리에이티브,올인원 패키지 : 디자인 툴
투자/재테크,"2030을 위한 내 집 마련의 모든 것
초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것
올인원 패키지 : 아파트 말고 부동산 재테크 시작하기
초격차 패키지 : 한 번에 끝내는 부동산 경매/공매 
올인원 패키지 : 박민수에게 배우는 직장인 초현실 투자 전략
올인원 패키지 : 15명의 전문 애널리스트에게 배우는 산업&매크로 분석과 투자 전략
3단계로 끝내는 직장인 건물주 프로젝트
업계 TOP 세무사와 부동산 세금 고민 끝장내기
올인원 패키지 : 박세익 전무에게 배우는 주식 시장 분석 & 포트폴리오 운용 전략
해외주식명저로 배우는 글로벌 Top 헤지펀드, 퀀트 투자 전략
상가 대통령 김인만의 상가 투자 풀코스 패키지"
